id,struct
1,TMv
2,SSp-m6b
3,sec
4,IC
5,int
6,PSV
7,grey
8,SSp-tr6a
9,SCig
10,plf
11,IF
12,im
13,PT
14,6b
15,SCiw
16,nf
17,IG
18,ENTl2
19,lotg
20,PTLp
21,AAA
22,sif
23,SCdg
24,IGL
25,ENTl6a
26,sttl
27,PVa
28,ACA
29,VISp6a
30,icf
31,III
32,GU1
33,lab
34,PVH
35,ACAd
36,VISpm2/3
37,SCdw
38,apf
39,ILA
40,SPVOrdm
41,mfbsma
42,PVHam
43,ACAv
44,ipf
45,PRC
46,ILM
47,ENTl3
48,SPVOmdmd
49,mfb
50,PVHap
51,ACB
52,pms
53,MT
54,IMD
55,ENTl6b
56,SPVOmdmv
57,mlf
58,PVHd
59,AD
60,pfs
61,LT
62,INC
63,FRP1
64,SPVOvl
65,mfbsm
66,PVHm
67,ADP
68,VS
69,VISl6a
70,DT
71,INV
72,SPVOcdm
73,mcp
74,PVHmm
75,AHA
76,VL
77,NLLd
78,IO
79,PL6a
80,sct
81,mtc
82,PVHmpd
83,AHN
84,RC
85,NLLh
86,IP
87,ENTl4
88,moV
89,PVHp
90,AI
91,DCO
92,TEa1
93,SEZ
94,NLLv
95,IPN
96,VCO
97,nst
98,PVHpm
99,AId
100,SOCm
101,ISN
102,MO1
103,chpl
104,ntt
105,PVHpv
106,AIp
107,CNlam
108,SSp-ll2/3
109,SOCl
110,IV
111,chfl
112,och
113,PVi
114,AIv
115,AIp1
116,VISl6b
117,POR
118,KF
119,IVF
120,opt
121,PVp
122,AM
123,MRN
124,V3
125,CSm
126,LA
127,PL6b
128,PVpo
129,ptf
130,AMB
131,IRN
132,CSl
133,LAT
134,ENTl5
135,AQ
136,PVR
137,pap
138,AMBv
139,OT1-3
140,V4
141,PRNr
142,LC
143,GU4
144,PVT
145,pvbh
146,AOB
147,PIR1-3
148,V4r
149,PHY
150,LD
151,AUDd6a
152,PVZ
153,pc
154,AON
155,AON1
156,NIS
157,LDT
158,AIp2/3
159,c
160,RAmb
161,pmx
162,AONd
163,AON2
164,PRP
165,LGd
166,PL1
167,RCH
168,poc
169,AONe
170,NR
171,LGv
172,ACA6a
173,GU2/3
174,RE
175,php
176,AONl
177,FRP
178,PPYd
179,LH
180,GU5
181,AOBgl
182,RH
183,py
184,AONm
185,COAa1
186,PPYs
187,LHA
188,PL2
189,AOBgr
190,RL
191,pyd
192,AONpv
193,COAa2
194,SSp-bfd2/3
195,MV
196,LIN
197,AOBmi
198,rstl
199,RM
200,AP
201,COAa3
202,LAV
203,LM
204,ACAd2/3
205,MOBgl
206,rstm
207,RN
208,APN
209,COApl1
210,SUV
211,LP
212,MO2/3
213,MOBgr
214,rrt
215,RO
216,ARH
217,COApl2
218,SPIV
219,LPO
220,ACA6b
221,MOBipl
222,sV
223,RPA
224,AT
225,COApl3
226,VISal5
227,TEa4
228,LRN
229,MOBmi
230,ts
231,RPO
232,ATN
233,COApm1
234,PTLp2/3
235,LS
236,AUDd6b
237,MOBopl
238,scrt
239,RR
240,AUD
241,COApm2
242,AUDpo6a
243,LSc
244,AUDp2/3
245,AUDd5
246,shp
247,RSP
248,AV
249,COApm3
250,VISpm6a
251,LSr
252,ENTmv1
253,NLOT1
254,sop
255,RT
256,AVP
257,ORB1
258,LSv
259,DP6a
260,NLOT2
261,VISpl2/3
262,srp
263,SAG
264,AVPV
265,RSPd6a
266,LSX
267,PIR1
268,stp
269,sAMY
270,RSPagl6b
271,B
272,VISam1
273,LTN
274,PIR2
275,step
276,SCH
277,BAC
278,ORBvl2/3
279,TEa5
280,LZ
281,PIR3
282,BA
283,svp
284,SCm
285,BLA
286,ACAv2/3
287,TTd1-4
288,MA
289,MO5
290,LGvl
291,st
292,SCs
293,BLAa
294,PL2/3
295,VISp6b
296,TTv1-3
297,MARN
298,PTLp6a
299,snp
300,SF
301,BLAp
302,ENTl4/5
303,MB
304,AIp6a
305,Isocortex
306,LGvm
307,stf
308,SG
309,BMA
310,MOp1
311,SubG
312,SSp
313,MBmot
314,ENTmv2
315,SGN
316,scp
317,BMAa
318,AId2/3
319,SSp-bfd
320,RSPd6b
321,MBO
322,ASO
323,SH
324,BMAp
325,PERI6a
326,csc
327,SSp-ll
328,SFO
329,MBsen
330,PTLp6b
331,smd
332,SI
333,BS
334,AIp5
335,SSp-m
336,SSp2/3
337,SBPV
338,MBsta
339,sup
340,SLC
341,BST
342,ORB5
343,SSp-n
344,MY
345,AIp6b
346,PST
347,ttp
348,SLD
349,BSTa
350,DP2/3
351,SSp-tr
352,MD
353,PL5
354,PSTN
355,tp
356,SMT
357,BSTp
358,PERI6b
359,SSp-ul
360,MY-mot
361,ENTmv3
362,ICB
363,tct
364,SNc
365,CA
366,COApl1-3
367,VISpl6a
368,SSs
369,MY-sat
370,cuf
371,SNr
372,CA1
373,COApm1-3
374,IVd
375,VISp
376,MY-sen
377,ENTl5/6
378,grf
379,sttv
380,SO
381,CA1slm
382,NLOT1-3
383,VISpl6b
384,VISam
385,MDRN
386,iaf
387,vtd
388,SOC
389,CA1so
390,PAA1-3
391,VISam4
392,VISal
393,MEA
394,oct
395,vlt
396,SPF
397,CA1sp
398,PAA1
399,VISl
400,rct
401,MEAad
402,ORBl2/3
403,vVIIIn
404,SPFm
405,CA1sr
406,PAA2
407,VISrl
408,MEAav
409,ENTmv4
410,db
411,VISl1
412,SPFp
413,CA2
414,PAA3
415,VISpl
416,MEApd
417,ECT2/3
418,mct
419,SPVC
420,RSPv2/3
421,CA2slm
422,NC
423,VISam5
424,RSPd2/3
425,MEApv
426,fx
427,SPVI
428,CA2so
